GOCI2_Latitude,GOCI2_Longitude,Himawari_Latitude,Himawari_Longitude,Chlorophyll,Albedo_01,Albedo_02,Albedo_03,Albedo_04
30.83903,131.46526,30.84,131.47,0.25898826,0.1182,0.0832,0.037,0.0178
40.74532,142.36633,40.75,142.37,0.53090787,0.12719999,0.092099994,0.0401,0.0178
27.931356,141.83438,27.93,141.83,0.06616177,0.107,0.0683,0.0242,0.0089
29.16788,132.75821,29.17,132.76,0.124199666,0.114099994,0.0755,0.030199999,0.0131
32.917458,139.58469,32.92,139.58,0.12337421,0.1081,0.0713,0.026899999,0.0077
33.475,128.43997,33.48,128.44,0.27130207,0.114099994,0.0808,0.0349,0.0196
27.702084,129.92496,27.7,129.92,0.118665285,0.1165,0.0784,0.033099998,0.0149
24.606428,136.98535,24.61,136.99,0.079161674,0.1052,0.0683,0.0251,0.011299999
29.177277,128.07492,29.18,128.07,0.14250445,0.1117,0.0755,0.0299,0.0101
28.377909,140.40086,28.380001,140.4,0.104242,0.1188,0.0814,0.0367,0.0184
34.29306,143.19215,34.29,143.19,0.09999025,0.1099,0.071899995,0.0253,0.0095
32.371914,123.049,32.370003,123.05,2.1414845,0.1349,0.1034,0.050699998,0.0244
29.655712,130.2882,29.66,130.29,0.1849886,0.1295,0.0927,0.0426,0.022
27.616884,143.39368,27.62,143.39,0.078385375,0.107,0.0689,0.0244,0.0083
32.425713,123.5821,32.43,123.58,2.5223742,0.1182,0.0879,0.0392,0.0178
28.433039,134.9816,28.43,134.98,0.08308572,0.1188,0.078999996,0.032199997,0.0154
30.71698,135.18245,30.720001,135.18,0.13464756,0.1147,0.077199996,0.0299,0.0131
27.085793,130.66656,27.09,130.67,0.13053001,0.1301,0.0915,0.042799998,0.022
26.333834,126.98223,26.33,126.98,0.19463784,0.114099994,0.0796,0.034199998,0.0166
26.156769,132.46211,26.16,132.46,0.06655982,0.111099996,0.0761,0.026999999,0.0178
30.585245,124.32458,30.59,124.32,0.66636,0.12,0.0879,0.041899998,0.022599999
27.397627,124.38949,27.4,124.39,0.39244598,0.107599996,0.0784,0.033,0.019
35.9283,142.99266,35.93,142.99,0.17476209,0.12239999,0.0802,0.0357,0.0178
